,spid,chid,casn,chnm,dsstox_substance_id,code,aeid,aenm,m5id,m4id,bmad,resp_max,resp_min,max_mean,max_mean_conc,max_med,max_med_conc,logc_max,logc_min,nconc,npts,nrep,nmed_gtbl,hitc,modl,fitc,coff,hit_param,hit_val,resp_unit,conc_unit,chit,fitc.ordr,nflg
2909,TP0000079E02,20194,10043-35-3,Boric acid (H3BO3),DTXSID1020194,C10043-35-3,5,APR_HepG2_CellLoss_1h_dn,7714680,5989120,0.055697131044462625,0.111030630820189,0.0170970789878929,0.10094687393324969,1.0,0.10094687393324969,1.0,2.30102999566398,-0.397940008672038,10,20,2.0,0,False,poly1,13,0.5569713104446262,top_over_cutoff,0.10938068501745767,log2_fold_induction,uM,False,,False
1953,TP0000077A11,37495,1007-28-9,Deisopropylatrazine,DTXSID0037495,C1007-28-9,5,APR_HepG2_CellLoss_1h_dn,7714577,5989017,0.055697131044462625,0.118852494386021,-0.137530726994657,0.076698378672367,1.69897000433602,0.076698378672367,1.69897000433602,2.30102999566398,-0.397940008672038,10,20,2.0,0,False,poly1,13,0.5569713104446262,top_over_cutoff,0.12634046799302176,log2_fold_induction,uM,False,,False
266,TP0000073C03,34650,100784-20-1,Halosulfuron-methyl,DTXSID9034650,C100784-20-1,5,APR_HepG2_CellLoss_1h_dn,7714401,5988841,0.055697131044462625,0.0864623759670575,-0.0667975651700891,0.02830797502675034,-0.397940008672038,0.02830797502675034,-0.397940008672038,2.30102999566398,-0.397940008672038,10,20,2.0,0,False,none,13,0.5569713104446262,top_over_cutoff,0.0,log2_fold_induction,uM,False,,False
1613,TP0000075F07,20089,101-05-3,Anilazine,DTXSID9020089,C101-05-3,5,APR_HepG2_CellLoss_1h_dn,7714537,5988977,0.055697131044462625,0.0421134075609752,-0.112857450454227,0.02791146112711175,1.0,0.02791146112711175,1.0,2.30102999566398,-0.397940008672038,10,20,2.0,0,False,poly1,13,0.5569713104446262,top_over_cutoff,0.03263303672508853,log2_fold_induction,uM,False,,False
650,TP0000073F05,34232,101-10-0,2-(m-Chlorophenoxy)propionic acid,DTXSID9034232,C101-10-0,5,APR_HepG2_CellLoss_1h_dn,7714439,5988879,0.055697131044462625,0.0615309711018315,-0.1269686735875,0.0014529152885441009,2.30102999566398,0.0014529152885441009,2.30102999566398,2.30102999566398,-0.397940008672038,10,20,2.0,0,False,poly1,13,0.5569713104446262,top_over_cutoff,0.06467437253353472,log2_fold_induction,uM,False,,False
1148,TP0000075B11,20764,101-21-3,Chlorpropham,DTXSID7020764,C101-21-3,5,APR_HepG2_CellLoss_1h_dn,7714493,5988933,0.055697131044462625,0.0794592456592778,-0.075299472136798,0.0265515355285989,2.30102999566398,0.0265515355285989,2.30102999566398,2.30102999566398,-0.397940008672038,10,20,2.0,0,False,none,13,0.5569713104446262,top_over_cutoff,0.0,log2_fold_induction,uM,False,,False
1709,TP0000075G07,24101,101200-48-0,Tribenuron-methyl,DTXSID8024101,C101200-48-0,5,APR_HepG2_CellLoss_1h_dn,7714549,5988989,0.055697131044462625,0.0292514005771954,-0.0829548863171904,0.0249390331010335,0.477121254719662,0.0249390331010335,0.477121254719662,2.30102999566398,-0.397940008672038,10,20,2.0,0,False,none,13,0.5569713104446262,top_over_cutoff,0.0,log2_fold_induction,uM,False,,False
1594,TP0000075F04,24177,10265-92-6,Methamidophos,DTXSID6024177,C10265-92-6,5,APR_HepG2_CellLoss_1h_dn,7714534,5988974,0.055697131044462625,0.217148097983543,-0.0446703206715086,0.2086800940441425,-0.397940008672038,0.2086800940441425,-0.397940008672038,2.30102999566398,-0.397940008672038,10,20,2.0,4,False,poly1,13,0.5569713104446262,top_over_cutoff,0.015457081520035757,log2_fold_induction,uM,False,,False
2430,TP0000077E11,32555,103361-09-7,Flumioxazin,DTXSID7032555,C103361-09-7,5,APR_HepG2_CellLoss_1h_dn,7714625,5989065,0.055697131044462625,0.229156414019819,-0.12451743966936,0.12274231581179795,2.30102999566398,0.12274231581179795,2.30102999566398,2.30102999566398,-0.397940008672038,10,20,2.0,0,False,poly1,13,0.5569713104446262,top_over_cutoff,0.23059564282952835,log2_fold_induction,uM,False,,False
2574,TP0000077G05,34270,104098-48-8,Imazapic,DTXSID5034270,C104098-48-8,5,APR_HepG2_CellLoss_1h_dn,7714643,5989083,0.055697131044462625,0.0371565087497287,-0.156883360603796,0.015884344564175812,1.69897000433602,0.015884344564175812,1.69897000433602,2.30102999566398,-0.397940008672038,10,20,2.0,0,False,poly1,13,0.5569713104446262,top_over_cutoff,0.07447247954171834,log2_fold_induction,uM,False,,False
