NA
Hoechst-33342 dye
AhRE RTU
AP-1 RTU
AP-2 RTU
BRE RTU
C/EBP RTU
CRE RTU
LXRE RTU
RARE RTU
Ebox RTU
E2F RTU
EGR RTU
ERE RTU
Ets RTU
FoxA RTU
FoxO RTU
GATA RTU
GLI RTU
GRE RTU
HIF1a RTU
HNF6 RTU
HSE RTU
IR1 RTU
ISRE RTU
MRE RTU
Myb RTU
Myc RTU
NF-kB RTU
NFI RTU
NRF1 RTU
ARE RTU
Oct RTU
p53 RTU
Pax RTU
PBREM RTU
PPRE RTU
PXRE RTU
RORE RTU
SOX RTU
Sp1 RTU
SREBP RTU
STAT RTU
TGF RTU
VDRE RTU
Xbp1 RTU
GAL4-AR RTU
GAL4-CAR RTU
GAL4-ERa RTU
GAL4-ERRa RTU
GAL4-ERRg RTU
GAL4-FXR RTU
GAL4-GR RTU
GAL4-HNF4a RTU
GAL4-LXRa RTU
GAL4-LXRb RTU
GAL4-NURR1 RTU
GAL4-PPARa RTU
GAL4-PPARd RTU
GAL4-PPARg RTU
GAL4-PXR RTU
GAL4-RARa RTU
GAL4-RARb RTU
GAL4-RARg RTU
GAL4-RORb RTU
GAL4-RORg RTU
GAL4-RXRa RTU
GAL4-RXRb RTU
GAL4-THRa RTU
GAL4-VDR RTU
E-selectin antibody
HLA-DR antibody
ICAM-1 antibody
IL-8 antibody
MCP-1 antibody
MIG antibody
0.1% sulforhodamine
Thrombomodulin antibody
Tissue Factor antibody
uPAR antibody
VCAM-1 antibody
Eotaxin-3 antibody
P-Selectin antibody
VEGFRII antibody
IL-1a antibody
IP-10 antibody
MMP-1 antibody
PAI-1 antibody
tPA antibody
uPA antibody
IL-6 antibody
LDLR antibody
M-CSF antibody
SAA antibody
Collagen antibody
EGFR antibody
TIMP-1 antibody
MMP-9 antibody
TIMP-2 antibody
CD40 antibody
IL-a antibody
PGE2 antibody
CD142 Tissue Factor antibody
TNF-a antibody
CD38 antibody
CD69 antibody
Alamar blue
CCF4-AM
CellTiter-Glo
One-Glo
Mito-MPS
XTT reagent
CellTox Green
d2-labeled cAMP
NanoLuc/profurimazine
CellTiter-Fluor reagent
intracellular calcium
Caspase-Glo 3/7 reagent
propidium iodide
CellEvent Caspase 3/7 Green detection reagent
